0.00.038.117 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.145 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.038.145 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.038.465 W srv  llama_server: -----------------
0.00.038.466 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.467 W srv  llama_server: -----------------
0.00.039.680 I srv    load_model: loading model '/mnt/raid0/llm/models/bge-large-en-v1.5-f16.gguf'
0.00.244.663 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.367.838 W srv    load_model: speculative decoding not supported by this context
0.00.367.843 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.369.366 I srv  llama_server: model loaded
0.00.369.373 I srv  llama_server: listening on http://127.0.0.1:8090
4.16.320.697 I slot launch_slot_: id  1 | task 103 | processing task, is_child = 0
4.16.330.985 I slot      release: id  1 | task 103 | stop processing: n_tokens = 55, truncated = 0
4.16.331.880 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257305997
4.16.331.883 I slot launch_slot_: id  0 | task 105 | processing task, is_child = 0
4.16.340.550 I slot      release: id  0 | task 105 | stop processing: n_tokens = 51, truncated = 0
4.16.341.544 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257316052
4.16.341.546 I slot launch_slot_: id  3 | task 107 | processing task, is_child = 0
4.16.350.088 I slot      release: id  3 | task 107 | stop processing: n_tokens = 56, truncated = 0
4.16.351.038 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257327942
4.16.351.041 I slot launch_slot_: id  2 | task 109 | processing task, is_child = 0
4.16.363.032 I slot      release: id  2 | task 109 | stop processing: n_tokens = 101, truncated = 0
4.16.363.970 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257339137
4.16.363.972 I slot launch_slot_: id  1 | task 111 | processing task, is_child = 0
4.16.372.747 I slot      release: id  1 | task 111 | stop processing: n_tokens = 50, truncated = 0
4.16.373.671 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257348702
4.16.373.673 I slot launch_slot_: id  0 | task 113 | processing task, is_child = 0
4.16.382.052 I slot      release: id  0 | task 113 | stop processing: n_tokens = 54, truncated = 0
4.16.382.965 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257358240
4.16.382.968 I slot launch_slot_: id  3 | task 115 | processing task, is_child = 0
4.16.391.843 I slot      release: id  3 | task 115 | stop processing: n_tokens = 51, truncated = 0
4.16.392.762 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257371184
4.16.392.764 I slot launch_slot_: id  2 | task 117 | processing task, is_child = 0
4.16.405.048 I slot      release: id  2 | task 117 | stop processing: n_tokens = 42, truncated = 0
4.16.405.976 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257380899
4.16.405.978 I slot launch_slot_: id  1 | task 119 | processing task, is_child = 0
4.16.414.433 I slot      release: id  1 | task 119 | stop processing: n_tokens = 62, truncated = 0
4.16.415.379 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257390203
4.16.415.381 I slot launch_slot_: id  0 | task 121 | processing task, is_child = 0
4.16.423.801 I slot      release: id  0 | task 121 | stop processing: n_tokens = 57, truncated = 0
4.16.424.733 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257399995
4.16.424.735 I slot launch_slot_: id  3 | task 123 | processing task, is_child = 0
4.16.432.921 I slot      release: id  3 | task 123 | stop processing: n_tokens = 44, truncated = 0
4.16.433.821 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257413200
4.16.433.822 I slot launch_slot_: id  2 | task 125 | processing task, is_child = 0
4.16.445.311 I slot      release: id  2 | task 125 | stop processing: n_tokens = 55, truncated = 0
4.16.446.225 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257422585
4.16.446.228 I slot launch_slot_: id  1 | task 127 | processing task, is_child = 0
4.16.454.867 I slot      release: id  1 | task 127 | stop processing: n_tokens = 51, truncated = 0
4.16.455.782 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257431953
4.16.455.784 I slot launch_slot_: id  0 | task 129 | processing task, is_child = 0
4.16.466.139 I slot      release: id  0 | task 129 | stop processing: n_tokens = 51, truncated = 0
4.16.467.052 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257441073
4.16.467.099 I slot launch_slot_: id  3 | task 131 | processing task, is_child = 0
4.16.475.351 I slot      release: id  3 | task 131 | stop processing: n_tokens = 47, truncated = 0
4.16.476.262 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257453463
4.16.476.265 I slot launch_slot_: id  2 | task 133 | processing task, is_child = 0
4.16.488.608 I slot      release: id  2 | task 133 | stop processing: n_tokens = 67, truncated = 0
4.16.489.553 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257463019
4.16.489.555 I slot launch_slot_: id  1 | task 135 | processing task, is_child = 0
4.16.498.179 I slot      release: id  1 | task 135 | stop processing: n_tokens = 50, truncated = 0
4.16.499.112 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257474291
4.16.499.114 I slot launch_slot_: id  0 | task 137 | processing task, is_child = 0
4.16.507.689 I slot      release: id  0 | task 137 | stop processing: n_tokens = 80, truncated = 0
4.16.508.609 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257483503
4.16.508.611 I slot launch_slot_: id  3 | task 139 | processing task, is_child = 0
4.16.517.340 I slot      release: id  3 | task 139 | stop processing: n_tokens = 49, truncated = 0
4.16.518.278 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257496760
4.16.518.281 I slot launch_slot_: id  2 | task 141 | processing task, is_child = 0
4.16.529.203 I slot      release: id  2 | task 141 | stop processing: n_tokens = 59, truncated = 0
4.16.530.117 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257506330
4.16.530.119 I slot launch_slot_: id  1 | task 143 | processing task, is_child = 0
4.16.539.457 I slot      release: id  1 | task 143 | stop processing: n_tokens = 77, truncated = 0
4.16.540.369 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257515841
